path	/ui/dialogs/menu_op/summaries						
op	en	zh-TW	ja-JP	fr	ru	es	eo
CHOP Analyze	Looks at the values of all the values of a channel, and outputs a single-number result into the output.	查看通道的所有值的值，並將單個數字結果輸出到輸出中。	チャネルのすべての値の値を調べて、単一の数値の結果を出力に出力します。	Regarde les valeurs de toutes les valeurs d'un canal, et délivre en sortie un résultat unique numéro dans la sortie.	Похоже на значения всех значений канала, и выводит результат одного числа на выходе.	Mira a los valores de todos los valores de un canal, y emite el resultado de un solo número en la salida.	Rigardas la valorojn de ĉiuj valoroj de kanalo, kaj eligas unu-nombro rezulto en la produktado.
CHOP Angle	Is a general purpose converter between degrees, radians, quaternions and vectors.  Different formats assume a specific ordering of input channels.	是度，弧度，四元數和向量之間的通用轉換器。不同的格式假定輸入通道的特定順序。	度、ラジアン、四元数およびベクトル間の汎用コンバーターです。フォーマットが異なると、入力チャネルの特定の順序が想定されます。	Est un convertisseur d'usage général entre les degrés, radians, escouades et vecteurs. Différents formats supposent un ordre spécifique des canaux d'entrée.	Является ли общий конвертер цели между градусами, радианами, кватернионами и векторами. Различные форматы предполагают конкретный порядок входных каналов.	Es un convertidor de uso general entre grados, radianes, cuaterniones y vectores. Diferentes formatos suponen una ordenación específica de los canales de entrada.	Estas ĝenerala celo konvertilo inter gradoj, radianoj, kvaroj kaj vektoroj. Malsamaj formatoj supozi specifa ordigo de enigo kanalojn.
CHOP Attribute	Adds, removes or updates attributes of the input CHOP. Currently there is only one attribute type, a "quaternion".	添加，刪除或更新輸入CHOP的屬性。目前只有一種屬性類型，即“四元數”。	入力CHOPの属性を追加、削除、または更新します。現在のところ、属性タイプは「クォータニオン」だけです。	Ajoute, supprime ou met à jour les attributs de la côtelette d'entrée. À l'heure actuelle il n'y a qu'un seul type d'attribut, un « quaternion ».	Добавляет, удаляет или обновляет атрибуты входного CHOP. В настоящее время существует только один тип атрибут, «кватернион».	Agrega, quita o actualizaciones atributos de la entrada de CHOP. Actualmente sólo hay un tipo de atributo, un "cuaternión".	Aldonas, forigas aŭ ĝisdatigoj atributoj de la enigo kotleton. Nuntempe ekzistas nur unu eco tipo, de "_quaternion_".
CHOP Audio Device In	Receives audio from any of the attached audio input devices using DirectSound or ASIO. It always outputs time sliced audio data.	使用DirectSound或ASIO從任何連接的音頻輸入設備接收音頻。它總是輸出時間切片的音頻數據。	DirectSoundまたはASIOを使用して、接続されている任意のオーディオ入力デバイスからオーディオを受信します。常にタイムスライスされたオーディオデータを出力します。	Reçoit le signal audio à partir de l'un des dispositifs d'entrée audio à l'aide de joints DirectSound ou ASIO. Il émet toujours des données audio en tranches de temps.	Принимает аудио от любого из подключенных устройств ввода аудио с использованием DirectSound или ASIO. Он всегда выводит время нарезанных аудиоданных.	Recibe audio de cualquiera de los dispositivos de entrada de audio adjuntos utilizando DirectSound o ASIO. Siempre da salida a los datos de audio de tiempo en rodajas.	Ricevas audio de ajna de la kuna enirita de audio aparatoj uzanta DirectSound aŭ ASIO. Ĝi ĉiam eligas tempon tranĉaĵoj audio datumoj.
CHOP Audio Dynamics	Is designed to control the dynamic range of an audio signal. Dynamic range refers to how loud and quiet the audio is over some period of time.	旨在控制音頻信號的動態範圍。動態範圍是指音頻在一段時間內的響度和安靜程度。	オーディオ信号のダイナミックレンジを制御するように設計されています。ダイナミックレンジとは、オーディオが一定期間にわたってどれほど大きく静かになるかを指します。	Est conçu pour contrôler la plage dynamique d'un signal audio. La plage dynamique fait référence à la façon dont le son est fort et calme sur une certaine période de temps.	Предназначено для контроля динамического диапазона звукового сигнала. Динамический диапазон относится к тому, как громко и тихо аудиозапись в течение некоторого периода времени.	Está diseñado para controlar el rango dinámico de una señal de audio. El rango dinámico se refiere a qué tan fuerte y silencioso que el audio es sobre un cierto período de tiempo.	Estas desegnita kontroli la dinamika gamo de sonan signalon. Dinamika gamo rilatas al kiom laŭta kaj kvieta la audio estas super iu periodo de tempo.
CHOP Audio Filter	Removes low frequencies, high frequencies, both low and high, or removes a mid-frequency range. A Low pass filter removes the higher frequencies of a sound, while a high pass filter reduces the bass of the sound.	消除低頻，高頻，低頻和高頻，或消除中頻範圍。低通濾波器可消除較高頻率的聲音，而高通濾波器可降低聲音的低音。	低周波数と高周波数（低周波数と高周波数の両方）を削除するか、中周波数範囲を削除します。ローパスフィルターはサウンドの高い周波数を除去し、ハイパスフィルターはサウンドの低音を減少させます。	Supprime les basses fréquences, des fréquences élevées, à la fois basses et hautes, ou supprime une gamme de fréquence moyenne. Un filtre passe-bas élimine les fréquences supérieures d'un son, tandis qu'un filtre passe-haut permet de réduire les basses du son.	Удаляет низкие частоты, высокие частоты, низкие и высокие, или удаляет диапазон средних частот. Фильтр нижних частот удаляет более высокие частоты звука, в то время как фильтр высоких частот уменьшает бас звука.	Elimina bajas frecuencias, las frecuencias altas, tanto de baja y alta, o elimina una gama de frecuencias medias. Un filtro de paso bajo elimina las frecuencias más altas de un sonido, mientras que un filtro de paso alto reduce el bajo del sonido.	Forigas malaltaj oftecoj, altaj oftecoj, ambaŭ malalta kaj alta, aŭ forigas mez-frekvenca gamo. Al Malalta pasa filtrilo forigas la pli altaj frekvencoj de sono, dum alta pasejo filtrilo reduktas la baso de la sono.
CHOP Audio Stream In	Can stream audio into TouchDesigner from any rtsp server.	可以從任何rtsp服務器將音頻流傳輸到TouchDesigner。	あらゆるrtspサーバーからTouchDesignerにオーディオをストリーミングできます。	Peut flux audio en TouchDesigner depuis un serveur RTSP.	Может поток аудио в TouchDesigner с любого сервера RTSP.	Puede transmitir audio en TouchDesigner desde cualquier servidor RTSP.	Povas alflui audio en TouchDesigner de ajna RTSP servilo.
CHOP Audio Stream Out	Can stream audio out to any rtsp client such as VideoLAN's VLC media player and Apple's Quicktime. To access the stream in one of these players, open a "Network Stream" or "URL" under the File menu.	可以將音頻流傳輸到任何rtsp客戶端，例如VideoLAN的VLC媒體播放器和Apple的Quicktime。要在其中一個播放器中訪問流，請在“文件”菜單下打開“網絡流”或“URL”。	VideoLANのVLCメディアプレーヤーやAppleのQuicktimeなど、あらゆるrtspクライアントにオーディオをストリーミング配信できます。これらのプレーヤーのいずれかでストリームにアクセスするには、[ファイル]メニューの[ネットワークストリーム]または[URL]を開きます。	Peut flux audio vers un client RTSP tels que VLC media player VideoLAN le lecteur et Quicktime d'Apple. Pour accéder au flux dans l'un de ces joueurs, ouvrez dans le menu Fichier un « flux réseau » ou « URL ».	Может передавать аудио к любому RTSP клиента, такие как VLC медиа-плеер VideoLAN и Quicktime от Apple. Чтобы получить доступ к поток в одном из этих игроков, открыть «Сетевой поток» или «URL» в меню Файл.	Puede transmitir audio a cualquier cliente RTSP como VLC media player de VideoLAN y Quicktime de Apple. Para acceder a la transmisión en uno de estos jugadores, abrir una "Red Stream" o "URL" en el menú Archivo.	Povas alflui audio al ajna RTSP kliento kiel VideoLAN la VLC Media Player kaj Apple Quicktime. Aliri la rivereto en unu el tiuj ludantoj, malfermi "Reto Rojo" aŭ "URL" sub la menuo Dosiero.
CHOP Audio Band EQ	Is a 16-band equalizer which filters audio input channels in the same way that a conventional band (graphic) equalizer uses a bank of sliders to filter fixed-frequency bands of sound.	是一個16波段均衡器，它以與傳統波段（圖形）均衡器使用一組滑塊來過濾固定頻率的聲音相同的方式過濾音頻輸入通道。	従来のバンド（グラフィック）イコライザーがスライダーのバンクを使用して固定周波数帯域のサウンドをフィルター処理するのと同じ方法でオーディオ入力チャンネルをフィルター処理する16バンドイコライザーです。	16 est un égaliseur en bande qui filtre les canaux d'entrée audio de la même manière qu'une bande égaliseur conventionnel (graphique) utilise une banque de curseurs pour filtrer les bandes de fréquences fixe du son.	Является 16-полосный эквалайзер, который фильтрует звуковые входные каналы таким же образом, что обычный диапазон (графический) эквалайзер использует банк ползунков для фильтрации фиксированной полосы частот звука.	Es un ecualizador de 16 bandas que filtra los canales de entrada de audio de la misma manera que una banda convencional (gráfico) ecualizador utiliza un banco de cursores para filtrar bandas de frecuencia fija de sonido.	Estas 16-bando ekvalizilo kiu filtras enirita de audio kanaloj same ke konvencia bando (grafika) ekvalizilo uzas bankon de Sliders filtri fiksa-bandoj de ofteco de la sono.
CHOP Beat	Generates a variety of ramps, pulses and counters that are timed to the beats per minute and the sync produced by the Beat Dialog or the beat Command .	生成各種斜坡，脈沖和計數器，這些斜坡，脈沖和計數器定時到每分鐘的節拍和由節拍對話或節拍命令產生的同步。	1分あたりのビートとビートダイアログまたはビートコマンドによって生成された同期に合わせたさまざまなランプ、パルス、およびカウンタを生成します。	Génère une variété de rampes, des impulsions et des compteurs qui sont chronométrés aux battements par minute et la synchronisation produite par le battement de dialogue ou le rythme de commande.	Создает различные пандусы, зернобобовые и счетчиков, которые приуроченные к ударам в минуту и ​​синхронизация производится с помощью Удара Dialog или Command биений.	Genera una variedad de rampas, legumbres y contadores que son el tiempo de los latidos por minuto y la sincronización producida por el golpe de diálogo o el comando ritmo.	Generas diversajn deklivirejoj, pulsoj kaj sumigiloj kiuj tempigita al la korbatoj por minuto kaj la sincronía produktita de la Beat Dialogo aŭ la ritmo Komando.
