items	en
about	About TouchDesigner
exportmovie	Export Movie...
offlinehelp	Offline Help
open	Open...
mididevicemapper	MIDI Device Mapper
openrecent	Open Recent
console	Console
new	New
finder	Finder
releasenotes	Release Notes
redo	Redo
save	Save
help	TouchDesigner Help
operatorsnippets	Operator Snippets
explorer	Explorer
saveas	Save As...
perfmonitor	Performance Monitor
pythonhelp	Python Help
palettebrowser	Palette Browser
create	Create Project Folder
variablesmacros	Variables/Macros
search	Search
keymanager	Key Manager
forums	TouchDesigner Forums
beat	Beat
operatorhelp	Operator Help
windowplacement	Window Placement
textport	Textport and DATs
preferences	Preferences
projectprivacy	Project Privacy... (Pro Only)
undo	Undo
tutorials	Tutorials and Tips
samples	Browse Samples
importfile	Import File...
errors	Errors
pythonexamples	Python Examples
quit	Quit TouchDesigner
