path	/ui/dialogs/menu_op/summaries												
op	en	zh-TW	ja	fr	ru	es	de	it	eo	th	vi	ko	ar
CHOP Analyze	Looks at the values of all the values of a channel, and outputs a single-number result into the output.	查看通道的所有值的值，並將單個數字結果輸出到輸出中。	チャネルのすべての値の値を調べて、単一の数値の結果を出力に出力します。	Regarde les valeurs de toutes les valeurs d'un canal, et délivre en sortie un résultat unique numéro dans la sortie.	Похоже на значения всех значений канала, и выводит результат одного числа на выходе.	Mira a los valores de todos los valores de un canal, y emite el resultado de un solo número en la salida.	Schaut auf die Werte aller Werte eines Kanals und gibt ein Einzel Anzahl Ergebnis in den Ausgang.	Guarda i valori di tutti i valori di un canale, e fornisce in uscita un risultato singolo numero in uscita.	Rigardas la valorojn de ĉiuj valoroj de kanalo, kaj eligas unu-nombro rezulto en la produktado.	มีลักษณะที่ค่าของค่าทั้งหมดของช่องและเอาท์พุทผลหมายเลขเดียวในการส่งออก	Nhìn vào các giá trị của tất cả các giá trị của một kênh, và kết quả đầu ra một kết quả duy nhất-số vào đầu ra.	채널의 모든 값의 값으로보고, 출력으로 단일 숫자 결과를 출력한다.	ينظر إلى قيم كل القيم من قناة، وإخراج نتيجة-رقم واحد في الإخراج.
CHOP Angle	Is a general purpose converter between degrees, radians, quaternions and vectors.  Different formats assume a specific ordering of input channels.	是度，弧度，四元數和向量之間的通用轉換器。不同的格式假定輸入通道的特定順序。	度、ラジアン、四元数およびベクトル間の汎用コンバーターです。フォーマットが異なると、入力チャネルの特定の順序が想定されます。	Est un convertisseur d'usage général entre les degrés, radians, escouades et vecteurs. Différents formats supposent un ordre spécifique des canaux d'entrée.	Является ли общий конвертер цели между градусами, радианами, кватернионами и векторами. Различные форматы предполагают конкретный порядок входных каналов.	Es un convertidor de uso general entre grados, radianes, cuaterniones y vectores. Diferentes formatos suponen una ordenación específica de los canales de entrada.	Ist ein Allzweck-Wandler zwischen Grad, Radiant quaternions und Vektoren. Verschiedene Formate übernehmen eine bestimmte Reihenfolge von Eingangskanälen.	È un convertitore general purpose tra gradi, radianti quaternioni e vettori. Diversi formati assumono un ordinamento specifico di canali di ingresso.	Estas ĝenerala celo konvertilo inter gradoj, radianoj, kvaroj kaj vektoroj. Malsamaj formatoj supozi specifa ordigo de enigo kanalojn.	เป็นแปลงอเนกประสงค์ระหว่างองศาเรเดียน quaternions และเวกเตอร์ รูปแบบที่แตกต่างกันถือว่าการสั่งซื้อที่เฉพาะเจาะจงของช่องสัญญาณ	Là phần mềm chuyển đổi mục đích chung giữa các trình độ, radian, quaternion và vectơ. định dạng khác nhau đảm nhận đặt hàng cụ thể của các kênh đầu vào.	도, 라디안, 사원 수와 벡터 사이의 범용 컨버터입니다. 다른 형식은 입력 채널의 특정 순서를 가정합니다.	هو تحويل أغراض العامة بين درجة، راديان، كواتيرنيون وناقلات. تفترض أشكال مختلفة لترتيب معين من قنوات الإدخال.
CHOP Attribute	Adds, removes or updates attributes of the input CHOP. Currently there is only one attribute type, a "quaternion".	添加，刪除或更新輸入CHOP的屬性。目前只有一種屬性類型，即“四元數”。	入力CHOPの属性を追加、削除、または更新します。現在のところ、属性タイプは「クォータニオン」だけです。	Ajoute, supprime ou met à jour les attributs de la côtelette d'entrée. À l'heure actuelle il n'y a qu'un seul type d'attribut, un « quaternion ».	Добавляет, удаляет или обновляет атрибуты входного CHOP. В настоящее время существует только один тип атрибут, «кватернион».	Agrega, quita o actualizaciones atributos de la entrada de CHOP. Actualmente sólo hay un tipo de atributo, un "cuaternión".	Addiert, entfernt oder aktualisiert Attribute des Eingabe CHOP. Derzeit gibt es nur ein Attribut Typ, ein „Quaternion“.	Aggiunge, rimuove o aggiornamenti attributi del CHOP ingresso. Attualmente c'è un solo tipo di attributo, un "quaternione".	Aldonas, forigas aŭ ĝisdatigoj atributoj de la enigo kotleton. Nuntempe ekzistas nur unu eco tipo, de "_quaternion_".	เพิ่มลบหรือการปรับปรุงคุณลักษณะของ CHOP การป้อนข้อมูล ปัจจุบันมีเพียงประเภทแอตทริบิวต์หนึ่ง "quaternion"	Cho biết thêm, loại bỏ hoặc cập nhật các thuộc tính của CHOP đầu vào. Hiện nay chỉ có một loại thuộc tính, một "quaternion".	, 추가 입력 CHOP의 속성을 제거하거나 업데이트됩니다. 현재는 하나의 속성 유형은 "사원 수"있다.	ويضيف، يزيل أو تحديثات سمات CHOP الإدخال. حاليا هناك واحد فقط نوع السمة، و "من أربعة".
CHOP Audio Device In	Receives audio from any of the attached audio input devices using DirectSound or ASIO. It always outputs time sliced audio data.	使用DirectSound或ASIO從任何連接的音頻輸入設備接收音頻。它總是輸出時間切片的音頻數據。	DirectSoundまたはASIOを使用して、接続されている任意のオーディオ入力デバイスからオーディオを受信します。常にタイムスライスされたオーディオデータを出力します。	Reçoit le signal audio à partir de l'un des dispositifs d'entrée audio à l'aide de joints DirectSound ou ASIO. Il émet toujours des données audio en tranches de temps.	Принимает аудио от любого из подключенных устройств ввода аудио с использованием DirectSound или ASIO. Он всегда выводит время нарезанных аудиоданных.	Recibe audio de cualquiera de los dispositivos de entrada de audio adjuntos utilizando DirectSound o ASIO. Siempre da salida a los datos de audio de tiempo en rodajas.	Empfängt Audiodaten von jedem der angeschlossenen Audioeingabegeräte DirectSound- oder ASIO verwenden. Es gibt immer Zeit geschnitten Audiodaten.	Riceve audio da qualsiasi dei dispositivi di ingresso audio collegati tramite DirectSound o ASIO. Esso emette sempre i dati audio in tempo a fette.	Ricevas audio de ajna de la kuna enirita de audio aparatoj uzanta DirectSound aŭ ASIO. Ĝi ĉiam eligas tempon tranĉaĵoj audio datumoj.	ได้รับเสียงจากส่วนใดของอุปกรณ์ป้อนข้อมูลเสียงที่แนบมาใช้ DirectSound หรือ ASIO มันก็จะเอาท์พุทเวลาหั่นข้อมูลเสียง	Nhận âm thanh từ bất kỳ thiết bị đầu vào âm thanh kèm theo sử dụng DirectSound hoặc ASIO. Nó luôn luôn kết quả đầu ra thời gian cắt dữ liệu âm thanh.	DirectSound의 또는 ASIO를 사용하여 연결된 오디오 입력 기기로부터 오디오를 수신한다. 항상 시간 슬라이스 오디오 데이터를 출력합니다.	يستقبل الصوت من أي من أجهزة الإدخال الصوت المرفقة باستخدام دايركت أو اسيو. دائما إخراج البيانات الصوتية وقت شرائح.
CHOP Audio Dynamics	Is designed to control the dynamic range of an audio signal. Dynamic range refers to how loud and quiet the audio is over some period of time.	旨在控制音頻信號的動態範圍。動態範圍是指音頻在一段時間內的響度和安靜程度。	オーディオ信号のダイナミックレンジを制御するように設計されています。ダイナミックレンジとは、オーディオが一定期間にわたってどれほど大きく静かになるかを指します。	Est conçu pour contrôler la plage dynamique d'un signal audio. La plage dynamique fait référence à la façon dont le son est fort et calme sur une certaine période de temps.	Предназначено для контроля динамического диапазона звукового сигнала. Динамический диапазон относится к тому, как громко и тихо аудиозапись в течение некоторого периода времени.	Está diseñado para controlar el rango dinámico de una señal de audio. El rango dinámico se refiere a qué tan fuerte y silencioso que el audio es sobre un cierto período de tiempo.	Ist so konzipiert, um den Dynamikbereich eines Audiosignals zu steuern. Der Dynamikbereich bezieht sich auf, wie laut und leise die Audiodaten über einen gewissen Zeitraum ist.	È progettato per controllare la gamma dinamica di un segnale audio. La gamma dinamica si riferisce a quanto forte e tranquilla, l'audio è in un certo periodo di tempo.	Estas desegnita kontroli la dinamika gamo de sonan signalon. Dinamika gamo rilatas al kiom laŭta kaj kvieta la audio estas super iu periodo de tempo.	ถูกออกแบบมาเพื่อควบคุมช่วงไดนามิกของสัญญาณเสียง ช่วงไดนามิกหมายถึงวิธีการดังและเงียบเสียงที่มีมากกว่าระยะเวลาหนึ่ง	Được thiết kế để kiểm soát dải động của một tín hiệu âm thanh. dải động đề cập đến cách ồn ào và yên tĩnh âm thanh đã qua một khoảng thời gian.	오디오 신호의 동적 범위를 제어하도록 설계되어있다. 동적 범위는 오디오가 일정 기간 동안 얼마나 큰 소리로 조용한을 의미합니다.	تم تصميم للسيطرة على مجموعة ديناميكية من إشارة صوتية. مجموعة ديناميكية يشير إلى كيف بصوت عال وهدوء الصوت هو على مدى فترة من الزمن.
CHOP Audio Filter	Removes low frequencies, high frequencies, both low and high, or removes a mid-frequency range. A Low pass filter removes the higher frequencies of a sound, while a high pass filter reduces the bass of the sound.	消除低頻，高頻，低頻和高頻，或消除中頻範圍。低通濾波器可消除較高頻率的聲音，而高通濾波器可降低聲音的低音。	低周波数と高周波数（低周波数と高周波数の両方）を削除するか、中周波数範囲を削除します。ローパスフィルターはサウンドの高い周波数を除去し、ハイパスフィルターはサウンドの低音を減少させます。	Supprime les basses fréquences, des fréquences élevées, à la fois basses et hautes, ou supprime une gamme de fréquence moyenne. Un filtre passe-bas élimine les fréquences supérieures d'un son, tandis qu'un filtre passe-haut permet de réduire les basses du son.	Удаляет низкие частоты, высокие частоты, низкие и высокие, или удаляет диапазон средних частот. Фильтр нижних частот удаляет более высокие частоты звука, в то время как фильтр высоких частот уменьшает бас звука.	Elimina bajas frecuencias, las frecuencias altas, tanto de baja y alta, o elimina una gama de frecuencias medias. Un filtro de paso bajo elimina las frecuencias más altas de un sonido, mientras que un filtro de paso alto reduce el bajo del sonido.	Entfernt niedrigen Frequenzen, hohe Frequenzen, niedrigen und hohen oder entfernt einen mittleren Frequenzbereich. Ein Tiefpassfilter entfernt die höheren Frequenzen eines Tons, während ein Hochpassfilter den Bass des Schalls reduziert.	Rimuove le frequenze basse, alte frequenze, sia a bassa e alta, o rimuove una gamma di media frequenza. Un filtro passa basso elimina le frequenze più elevate di un suono, mentre un filtro passa alto riduce il basso del suono.	Forigas malaltaj oftecoj, altaj oftecoj, ambaŭ malalta kaj alta, aŭ forigas mez-frekvenca gamo. Al Malalta pasa filtrilo forigas la pli altaj frekvencoj de sono, dum alta pasejo filtrilo reduktas la baso de la sono.	เอาความถี่ต่ำความถี่สูงทั้งต่ำและสูงหรือเอาช่วงกลางความถี่ กรองผ่านต่ำเอาความถี่สูงของเสียงในขณะที่กรองผ่านสูงช่วยลดเสียงเบสของเสียง	Loại bỏ các tần số thấp, tần số cao, cả thấp và cao, hoặc loại bỏ một loạt giữa tần số. Một đường chuyền lọc Low loại bỏ các tần số cao hơn của một âm thanh, trong khi một bộ lọc thông cao làm giảm bass của âm thanh.	낮고 높은 모두 저주파, 고주파를 제거하거나, 중간 주파수 범위를 제거한다. 고역 통과 필터는 사운드의 저음을 감소하는 동안 저역 필터는 음의 높은 주파수를 제거한다.	يزيل الترددات المنخفضة، الترددات العالية، سواء المنخفضة والعالية، أو يزيل منتصف نطاق التردد. مرشح تمرير منخفض يزيل ترددات أعلى من صوت، في حين أن مرشح تمرير عالية يقلل من باس من الصوت.
CHOP Audio Stream In	Can stream audio into TouchDesigner from any rtsp server.	可以從任何rtsp服務器將音頻流傳輸到TouchDesigner。	あらゆるrtspサーバーからTouchDesignerにオーディオをストリーミングできます。	Peut flux audio en TouchDesigner depuis un serveur RTSP.	Может поток аудио в TouchDesigner с любого сервера RTSP.	Puede transmitir audio en TouchDesigner desde cualquier servidor RTSP.	Kann Audio in Touch von jedem RTSP-Server streamen.	Eseguire lo streaming audio in TouchDesigner da qualsiasi server RTSP.	Povas alflui audio en TouchDesigner de ajna RTSP servilo.	สามารถสตรีมเสียงใน TouchDesigner จากเซิร์ฟเวอร์ RTSP ใด ๆ	Có thể truyền âm thanh vào TouchDesigner từ bất kỳ máy chủ rtsp.	어떤 RTSP 서버에서 TouchDesigner로 오디오를 스트리밍 할 수 있습니다.	يمكن دفق الصوت إلى TouchDesigner من أي خادم RTSP.
CHOP Audio Stream Out	Can stream audio out to any rtsp client such as VideoLAN's VLC media player and Apple's Quicktime. To access the stream in one of these players, open a "Network Stream" or "URL" under the File menu.	可以將音頻流傳輸到任何rtsp客戶端，例如VideoLAN的VLC媒體播放器和Apple的Quicktime。要在其中一個播放器中訪問流，請在“文件”菜單下打開“網絡流”或“URL”。	VideoLANのVLCメディアプレーヤーやAppleのQuicktimeなど、あらゆるrtspクライアントにオーディオをストリーミング配信できます。これらのプレーヤーのいずれかでストリームにアクセスするには、[ファイル]メニューの[ネットワークストリーム]または[URL]を開きます。	Peut flux audio vers un client RTSP tels que VLC media player VideoLAN le lecteur et Quicktime d'Apple. Pour accéder au flux dans l'un de ces joueurs, ouvrez dans le menu Fichier un « flux réseau » ou « URL ».	Может передавать аудио к любому RTSP клиента, такие как VLC медиа-плеер VideoLAN и Quicktime от Apple. Чтобы получить доступ к поток в одном из этих игроков, открыть «Сетевой поток» или «URL» в меню Файл.	Puede transmitir audio a cualquier cliente RTSP como VLC media player de VideoLAN y Quicktime de Apple. Para acceder a la transmisión en uno de estos jugadores, abrir una "Red Stream" o "URL" en el menú Archivo.	Kann aus einem RTSP-Client wie VideoLAN VLC Media Player und Apple Quicktime-Audio-Stream. Für den Zugriff auf den Stream in einer dieser Spieler, öffnen Sie ein „Netzwerk-Stream“ oder „URL“ unter dem Menü Datei.	Può streaming audio verso qualsiasi client RTSP come VLC media player di VideoLAN e Quicktime di Apple. Per accedere al flusso in uno di questi giocatori, aprire un "Network Stream" o "URL" sotto il menu File.	Povas alflui audio al ajna RTSP kliento kiel VideoLAN la VLC Media Player kaj Apple Quicktime. Aliri la rivereto en unu el tiuj ludantoj, malfermi "Reto Rojo" aŭ "URL" sub la menuo Dosiero.	สามารถสตรีมเสียงออกไปยังลูกค้า RTSP ใด ๆ เช่น VideoLAN ของ VLC เครื่องเล่นสื่อและ Quicktime แอปเปิ้ล ในการเข้าถึงกระแสหนึ่งในผู้เล่นเหล่านี้เปิด "สตรีมเครือข่าย" หรือ "URL" ภายใต้เมนู File	Có thể truyền âm thanh ra cho bất kỳ khách hàng rtsp như VLC media player VideoLAN và Quicktime của Apple. Để truy cập vào hoạt động vào một trong những người chơi, mở "Network Stream" hoặc "URL" dưới menu File.	같은가 VideoLAN의 VLC 미디어 플레이어와 애플의 퀵타임 같은 RTSP 클라이언트에 밖으로 오디오를 스트리밍 할 수 있습니다. 파일 메뉴 아래에 "네트워크 스트림"또는 "URL"을 열고,이 선수 중 하나 스트림에 액세스 할 수 있습니다.	يمكن دفق الصوت إلى أي عميل RTSP مثل VLC وسائل الاعلام لاعب فيديو لان وكويك تايم أبل. للوصول إلى تيار واحد من هؤلاء اللاعبين، افتح "التيار شبكة" أو "URL" ضمن القائمة ملف.
CHOP Audio Band EQ	Is a 16-band equalizer which filters audio input channels in the same way that a conventional band (graphic) equalizer uses a bank of sliders to filter fixed-frequency bands of sound.	是一個16波段均衡器，它以與傳統波段（圖形）均衡器使用一組滑塊來過濾固定頻率的聲音相同的方式過濾音頻輸入通道。	従来のバンド（グラフィック）イコライザーがスライダーのバンクを使用して固定周波数帯域のサウンドをフィルター処理するのと同じ方法でオーディオ入力チャンネルをフィルター処理する16バンドイコライザーです。	16 est un égaliseur en bande qui filtre les canaux d'entrée audio de la même manière qu'une bande égaliseur conventionnel (graphique) utilise une banque de curseurs pour filtrer les bandes de fréquences fixe du son.	Является 16-полосный эквалайзер, который фильтрует звуковые входные каналы таким же образом, что обычный диапазон (графический) эквалайзер использует банк ползунков для фильтрации фиксированной полосы частот звука.	Es un ecualizador de 16 bandas que filtra los canales de entrada de audio de la misma manera que una banda convencional (gráfico) ecualizador utiliza un banco de cursores para filtrar bandas de frecuencia fija de sonido.	Ist ein 16-Band-Equalizer, die Audioeingangskanäle in der gleichen Art und Weise filtert, dass ein herkömmlicher Band (Grafik) equalizer eine Bank von Schiebern verwendet feste Frequenzbändern des Schalls zu filtern.	È un equalizzatore a 16 bande che filtra canali di ingresso audio nello stesso modo che un gruppo convenzionale (grafico) equalizzatore utilizza una banca di cursori per filtrare bande di frequenza fissa del suono.	Estas 16-bando ekvalizilo kiu filtras enirita de audio kanaloj same ke konvencia bando (grafika) ekvalizilo uzas bankon de Sliders filtri fiksa-bandoj de ofteco de la sono.	คือควอไลเซอร์ 16-band ที่กรองช่องสัญญาณเสียงในลักษณะเดียวกับที่วงธรรมดา (กราฟิก) ควอไลเซอร์ใช้ธนาคารของแถบเลื่อนเพื่อกรองวงดนตรีที่คงที่ความถี่ของเสียง	Là một bộ cân bằng 16-band để lọc các kênh đầu vào âm thanh trong cùng một cách mà một ban nhạc truyền thống (đồ họa) cân bằng sử dụng một ngân hàng của thanh trượt để lọc băng tần cố định tần số của âm thanh.	종래 대역 (그래픽) 등화 고정 소리의 주파수 대역을 필터링하는 슬라이더의 뱅크를 사용하는 것과 동일한 방식으로 오디오 입력 채널 필터 16 밴드 이퀄라이저이다.	هو التعادل 16-الفرقة التي تصفي قنوات إدخال الصوت في بنفس الطريقة التي الفرقة التقليدية (الرسم) التعادل يستخدم البنك من المتزلجون لتصفية نطاقات تردد ثابت للصوت.
CHOP Beat	Generates a variety of ramps, pulses and counters that are timed to the beats per minute and the sync produced by the Beat Dialog or the beat Command .	生成各種斜坡，脈沖和計數器，這些斜坡，脈沖和計數器定時到每分鐘的節拍和由節拍對話或節拍命令產生的同步。	1分あたりのビートとビートダイアログまたはビートコマンドによって生成された同期に合わせたさまざまなランプ、パルス、およびカウンタを生成します。	Génère une variété de rampes, des impulsions et des compteurs qui sont chronométrés aux battements par minute et la synchronisation produite par le battement de dialogue ou le rythme de commande.	Создает различные пандусы, зернобобовые и счетчиков, которые приуроченные к ударам в минуту и ​​синхронизация производится с помощью Удара Dialog или Command биений.	Genera una variedad de rampas, legumbres y contadores que son el tiempo de los latidos por minuto y la sincronización producida por el golpe de diálogo o el comando ritmo.	Erzeugt eine Vielzahl von Rampen, Impulsen und Zählern, die auf die Schläge pro Minute getaktet werden und die Synchronisierung von Beat erzeugt Dialog oder dem Beat-Befehl.	Genera una serie di rampe, legumi e contatori che sono programmati per le battute al minuto e la sincronizzazione prodotto dalla Beat finestra di dialogo o il comando battito.	Generas diversajn deklivirejoj, pulsoj kaj sumigiloj kiuj tempigita al la korbatoj por minuto kaj la sincronía produktita de la Beat Dialogo aŭ la ritmo Komando.	สร้างความหลากหลายของทางลาดพัลส์และเคาน์เตอร์ที่จะหมดเวลาที่จะเต้นต่อนาทีและซิงค์ที่ผลิตโดยตีโต้ตอบหรือ Command จังหวะ	Tạo ra một loạt các đường dốc, đậu và các quầy được hẹn giờ để những nhịp đập mỗi phút và đồng bộ sản xuất bởi Beat Dialog hoặc Bộ chỉ huy nhịp.	분 박자 대화 또는 비트 명령에 의해 생성 된 동기 당 비트를 초과하는 램프, 펄스 및 카운터의 다양한 생성합니다.	يولد مجموعة متنوعة من سلالم والبقول والعدادات التي هي في الوقت المناسب إلى نبضة في الدقيقة والمزامنة التي تنتجها فوز الحوار أو القيادة فوز.
