CHOP Analyze	查看通道的所有值的值，並將單個數字結果輸出到輸出中。
CHOP Angle	是度，弧度，四元數和向量之間的通用轉換器。不同的格式假定輸入通道的特定順序。
CHOP Attribute	添加，刪除或更新輸入CHOP的屬性。目前只有一種屬性類型，即“四元數”。
CHOP Audio Device In	使用DirectSound或ASIO從任何連接的音頻輸入設備接收音頻。它總是輸出時間切片的音頻數據。
CHOP Audio Dynamics	旨在控制音頻信號的動態範圍。動態範圍是指音頻在一段時間內的響度和安靜程度。
CHOP Audio Filter	消除低頻，高頻，低頻和高頻，或消除中頻範圍。低通濾波器可消除較高頻率的聲音，而高通濾波器可降低聲音的低音。
CHOP Audio Stream In	可以從任何rtsp服務器將音頻流傳輸到TouchDesigner。
CHOP Audio Stream Out	可以將音頻流傳輸到任何rtsp客戶端，例如VideoLAN的VLC媒體播放器和Apple的Quicktime。要在其中一個播放器中訪問流，請在“文件”菜單下打開“網絡流”或“URL”。
CHOP Audio Band EQ	是一個16波段均衡器，它以與傳統波段（圖形）均衡器使用一組滑塊來過濾固定頻率的聲音相同的方式過濾音頻輸入通道。
CHOP Beat	生成各種斜坡，脈沖和計數器，這些斜坡，脈沖和計數器定時到每分鐘的節拍和由節拍對話或節拍命令產生的同步。
CHOP Blend	通過在輸入1中使用一組混合通道，在輸入2,3等中組合兩個或更多個CHOP。混合通道導致CHOP的不同強度有助於CHOP的輸出。
CHOP Clock	生成反映年，月，週，日，小時，分鐘，秒和毫秒時間的頻道。
CHOP Composite	在另一個CHOP的通道上層疊（混合）一個CHOP的通道。第一個輸入是基本輸入，第二個是層輸入。
CHOP Constant	創建多達40個新的恆定價值渠道。每個通道都可以命名並分配不同的值。
CHOP Copy	沿第一個輸入的時間軸生成第二個輸入的多個副本。第一個輸入提供觸發信號或卷積電平。
CHOP Count	計算通道越過觸發或釋放閾值的次數。它以靜態或實時（“Cook to Current Frame”）模式運行。
CHOP Cross	是一個多輸入OP，一次混合2個輸入。這類似於Switch CHOP，但Cross CHOP允許在輸入之間進行插值。
CHOP Cycle	創造週期。它可以在原始之前和之後重複多次通道。它還可以使單個循環從其結束到開始具有平滑過渡，因此它可以順利循環。
CHOP DAT to	將使用從DAT派生的值創建一組CHOP通道。
CHOP Delay	延遲輸入。可以饋入多個通道以分別延遲每個通道，並且每個通道可以具有單獨的延遲時間。
CHOP Delete	刪除來自其輸入的頻道。第一種方法使用文本字符串按名稱或數字範圍選擇通道。
CHOP DMX In	從DMX或Art-Net設備接收頻道。 DMX的通道值為0-255。注意：在TouchDesigner非商業用途中，DMX Out CHOP限制為32個通道。
CHOP DMX Out	將頻道發送到DMX或Art-Net設備。 DMX的通道值為0-255。發送到DMX Out的第一個通道將對應第一個DMX地址（DMX通道）當您向DMX輸出添加通道時，您將按順序訪問下一個DMX通道。
CHOP Envelope	輸出每個輸入樣本附近的最大幅度。它採用輸入的絕對值，並使用多個樣本的滑動窗口來查找每個樣本附近的最大幅度。
CHOP EtherDream	最多5個通道輸入前5個通道中的X和Y（水平和垂直）位置值，以及接下來3個通道中的紅色，綠色和藍色值。
CHOP Event	管理由MIDI鍵盤等設備觸發的重疊事件的誕生和生命。它可以看作是為MIDI鍵盤設計的簡單粒子系統。
CHOP Expression	允許您使用數學表達式修改輸入通道。最多可提供六個表達式。每個輸入通道僅由一個表達式修改，表達式為多個通道循環。
CHOP Extend	僅設置CHOP的“擴展條件”，它確定在間隔之前或之後對CHOP進行採樣時獲得的值。
CHOP Fan	將一個通道轉換為多個通道，或將多個通道轉換為一個通道。它的第一個操作Fan Out需要一個通道並產生2個或更多通道。
CHOP Feedback	存儲當前幀中的通道以在稍後的幀中使用，而不強制重新縮回一幀。
CHOP File In	讀入通道和音頻文件以供CHOP使用。可以從磁盤或Web中讀取該文件。
CHOP File Out	將CHOP通道數據寫入.chan文件。數據可以每幀或間隔（由Interval參數設置）寫入日誌文件。
CHOP Filter	平滑或銳化輸入通道。它通過組合每個樣本及其相鄰樣本的範圍來進行過濾，以設置該樣本的新值。
CHOP Function	提供比Math CHOP更複雜的數學函數：三角函數，對數函數和指數函數，以及音頻分貝（dB） - 功率 - 幅度轉換。
CHOP Gesture	記錄第一個輸入的一小段，並使用手勢頁中指定的選項及時循環此段。
CHOP Hog	吃CPU週期（即CPU耗水 - 哼！）。這可以用來模擬較慢機器上的性能，或者人為地減慢合成器的幀速率。
CHOP Hold	在第二個輸入上等待0到1步，此時它從第一個輸入讀取當前值（每個通道一個值）。
CHOP In	獲取連接到組件的其中一個輸入的通道。對於組件內的每個In CHOP，有一個輸入連接器添加到In CHOP的父組件中。
CHOP Info	為您提供有關節點的額外信息。所有節點都包含額外的內部信息，不同類型的節點（TOP，CHOP等）包含不同的信息子集。
CHOP Interpolate	將其多輸入視為關鍵幀並在它們之間進行插值。輸入通常是單幀CHOP通道，如Constant CHOP產生的通道。
CHOP Join	獲取所有輸入並追加一個CHOP。預計他們都有相同的渠道。
CHOP Keyboard In	從鍵盤接收ASCII輸入，並輸出指定鍵數的通道。它創建一個表示每個密鑰當前狀態的單幀通道。
CHOP Kinect	從Kinect和Linect2傳感器讀取位置和骨架跟踪數據。最多可以跟踪6個人的完整骨架（原始Kinect上有2個），並且還會跟踪攝像機視圖中另外4個人的中心位置。
CHOP Lag	為通道添加滯後和過衝。它還可以限制通道的速度和加速度。延遲減慢了輸入通道的快速變化。
CHOP Leap Motion	從Leap Motion控制器讀取手，手指，工具和手勢數據。它輸出手，手指和工具位置，旋轉和“跟踪”通道，指示當前是否正在檢測和更新這些值。
CHOP LFO	（低頻振盪器）以兩種方式實時產生波。它使用常見波形（如正弦波或脈衝波）選擇合成曲線，或重複準備的輸入曲線。
CHOP Limit	可以將輸入通道的值限制在最小值和最大值之間，並且可以在時間和/或值上量化輸入通道，使得值隨時間步進。
